Timestamp,hash-rate
2018-09-25 00:00:00,52868066.510953866
2018-09-26 00:00:00,54374065.72895806
2018-09-27 00:00:00,53658386.6635799
2018-09-28 00:00:00,53232311.49205931
2018-09-29 00:00:00,53740253.3956095
2018-09-30 00:00:00,53587870.82454444
2018-10-01 00:00:00,54248195.29915968
2018-10-02 00:00:00,54756137.20270985
2018-10-03 00:00:00,53130723.11134927
2018-10-04 00:00:00,53435488.253479384
2018-10-05 00:00:00,54016485.12247144
2018-10-06 00:00:00,53076537.694388114
2018-10-07 00:00:00,51973472.574453704
2018-10-08 00:00:00,51211672.00732195
2018-10-09 00:00:00,50333253.890379705
2018-10-10 00:00:00,50256807.69833168
2018-10-11 00:00:00,50515184.986614704
2018-10-12 00:00:00,51088272.00429913
2018-10-13 00:00:00,51194154.433323584
